Date,Load Number,Shipper,Carrier,Workflow,Alert,Response Time,Raw Response,Goal,Updated data points on FK,Reminder,Escalated
2024-10-31,4303632341,smithfield-foods,Coyote Logistics,notifier,Load #4303632341 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303638936,smithfield-foods,ST Freight LLC,notifier,Load #4303638936: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303664247,smithfield-foods,Capstone Logistics,notifier,Load #4303664247: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303664475,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303664475: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303690850,smithfield-foods,Lake Trucking Company,notifier,Load #4303690850 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303693044,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303693044: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303694382,smithfield-foods,Unlimited Logistics,notifier,Load #4303694382: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303694507,smithfield-foods,C.R. England,notifier,Load #4303694507: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303694508,smithfield-foods,C.R. England,notifier,Load #4303694508 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303695270,smithfield-foods,Olympic Transportation Services Inc,notifier,Load #4303695270: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303695423,smithfield-foods,"Corney Transportation, Inc.",notifier,Load #4303695423: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303695559,smithfield-foods,Raider Express Inc.,notifier,Load #4303695559 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303696398,smithfield-foods,"Corney Transportation, Inc.",notifier,Load #4303696398 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303696559,smithfield-foods,Olympic Transportation Services Inc,notifier,Load #4303696559: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303696560,smithfield-foods,Olympic Transportation Services Inc,notifier,Load #4303696560: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303698199,smithfield-foods,Raider Express Inc.,notifier,Load #4303698199: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303699784,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303699784 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303699791,smithfield-foods,Prime Inc.,notifier,Load #4303699791 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303700245,smithfield-foods,Raider Express Inc.,notifier,Load #4303700245 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303700703,smithfield-foods,Good Transport LLC,notifier,Load #4303700703: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303700758,smithfield-foods,Raider Express Inc.,notifier,Load #4303700758: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303701154,smithfield-foods,Prime Inc.,notifier,Load #4303701154 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303701161,smithfield-foods,Prime Inc.,notifier,Load #4303701161 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303701660,smithfield-foods,Western Provisions,notifier,Load #4303701660 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303702594,smithfield-foods,Johnson Feed Inc.,notifier,Load #4303702594 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303702686,smithfield-foods,Potter Transport Inc.,notifier,Load #4303702686: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303702688,smithfield-foods,Raider Express Inc.,notifier,Load #4303702688 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303702689,smithfield-foods,Raider Express Inc.,notifier,Load #4303702689 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303702811,smithfield-foods,Cactus Leasing,notifier,Load #4303702811 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303702948,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303702948 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303703248,smithfield-foods,C.R. England,notifier,Load #4303703248 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303703363,smithfield-foods,Prime Inc.,notifier,Load #4303703363: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303703460,smithfield-foods,Prime Inc.,notifier,Load #4303703460 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303703538,smithfield-foods,Prime Inc.,notifier,Load #4303703538 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303703556,smithfield-foods,Pro Transport and Leasing,notifier,Load #4303703556 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303704441,smithfield-foods,Prime Inc.,notifier,Load #4303704441 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303704573,smithfield-foods,C.R. England,notifier,Load #4303704573 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303705027,smithfield-foods,Raider Express Inc.,notifier,Load #4303705027 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303705230,smithfield-foods,K and B Transportation Inc.,notifier,Load #4303705230 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303705233,smithfield-foods,Prime Inc.,notifier,Load #4303705233 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303705241,smithfield-foods,K and B Transportation Inc.,notifier,Load #4303705241 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303705245,smithfield-foods,Prime Inc.,notifier,Load #4303705245 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303705597,smithfield-foods,C.R. England,notifier,Load #4303705597 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-10-31,4303707299,smithfield-foods,Raider Express Inc.,notifier,Load #4303707299 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303597623,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303597623 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303597733,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303597733 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303597964,smithfield-foods,K and B Transportation Inc.,notifier,Load #4303597964 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303598137,smithfield-foods,K and B Transportation Inc.,notifier,Load #4303598137 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303627029,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303627029: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303630547,smithfield-foods,Integrity Express Logistics,notifier,Load #4303630547: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303630559,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303630559: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303630562,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303630562: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303630567,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303630567: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303630715,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303630715: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303630726,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303630726: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303630730,smithfield-foods,Coyote Logistics,notifier,Load #4303630730: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303630733,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303630733 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303630906,smithfield-foods,Arrive Logistics,notifier,Load #4303630906 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303632323,smithfield-foods,LHP Transportation Services,notifier,Load #4303632323: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303632324,smithfield-foods,Coyote Logistics,notifier,Load #4303632324: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303632328,smithfield-foods,RFX LLC,notifier,Load #4303632328 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303632332,smithfield-foods,Coyote Logistics,notifier,Load #4303632332 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303632343,smithfield-foods,Lake Trucking Company,notifier,Load #4303632343 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303638684,smithfield-foods,LHP Transportation Services,notifier,Load #4303638684: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303638936,smithfield-foods,ST Freight LLC,notifier,Load #4303638936: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303647081,smithfield-foods,Wolf River Express,notifier,Load #4303647081: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303654485,smithfield-foods,Knight Transportation,notifier,Load #4303654485 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303657442,smithfield-foods,Coyote Logistics,notifier,Load #4303657442: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303678067,smithfield-foods,DJM Logistics/MoLo Solutions,notifier,Load #4303678067: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303682039,smithfield-foods,Traffix,notifier,Load #4303682039: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303689543,smithfield-foods,C.R. England,notifier,Load #4303689543: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303690799,smithfield-foods,Prime Inc.,notifier,Load #4303690799 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303696115,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303696115: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303696914,smithfield-foods,SUPER T TRANSPORT INC (Miller Brothers),notifier,Load #4303696914: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303697162,smithfield-foods,Heyl Truck Lines,notifier,Load #4303697162: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303697231,smithfield-foods,Prime Inc.,notifier,Load #4303697231 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303698534,smithfield-foods,Olympic Transportation Services Inc,notifier,Load #4303698534: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303700245,smithfield-foods,Raider Express Inc.,notifier,Load #4303700245: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303700286,smithfield-foods,Great Central Truck Leasing,notifier,Load #4303700286: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303701155,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303701155 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303701162,smithfield-foods,C.R. England,notifier,Load #4303701162 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303701165,smithfield-foods,Prime Inc.,notifier,Load #4303701165 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303701168,smithfield-foods,Johnson Feed Inc.,notifier,Load #4303701168 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303701182,smithfield-foods,Prime Inc.,notifier,Load #4303701182 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303702690,smithfield-foods,Raider Express Inc.,notifier,Load #4303702690 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303702886,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303702886 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303702900,smithfield-foods,Raider Express Inc.,notifier,Load #4303702900 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303703416,smithfield-foods,C.R. England,notifier,Load #4303703416 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303704206,smithfield-foods,C.R. England,notifier,Load #4303704206 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303704334,smithfield-foods,C.R. England,notifier,Load #4303704334 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303704511,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303704511 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303704550,smithfield-foods,Prime Inc.,notifier,Load #4303704550: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303704559,smithfield-foods,SOAR Transport (Formerly Kelle's),notifier,Load #4303704559: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303704939,smithfield-foods,Prime Inc.,notifier,Load #4303704939 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303704940,smithfield-foods,K and B Transportation Inc.,notifier,Load #4303704940: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303705025,smithfield-foods,Lazer Spot,notifier,Load #4303705025 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303705026,smithfield-foods,Raider Express Inc.,notifier,Load #4303705026 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303705028,smithfield-foods,Raider Express Inc.,notifier,Load #4303705028 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303705618,smithfield-foods,Unlimited Logistics,notifier,Load #4303705618 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303706203,smithfield-foods,Olympic Transportation Services Inc,notifier,Load #4303706203: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303706845,smithfield-foods,Raider Express Inc.,notifier,Load #4303706845 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303706860,smithfield-foods,Prime Inc.,notifier,Load #4303706860 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-01,4303707000,smithfield-foods,Cactus Leasing,notifier,Load #4303707000 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303627029,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303627029: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303630565,smithfield-foods,LHP Transportation Services,notifier,Load #4303630565: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303630567,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303630567: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303630580,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303630580: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303630724,smithfield-foods,Coyote Logistics,notifier,Load #4303630724: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303630725,smithfield-foods,ST Freight LLC,notifier,Load #4303630725: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303630726,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303630726: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303630738,smithfield-foods,Arrive Logistics,notifier,Load #4303630738 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303630909,smithfield-foods,Arrive Logistics,notifier,Load #4303630909 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303632331,smithfield-foods,Coyote Logistics,notifier,Load #4303632331: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303638807,smithfield-foods,DJM Logistics/MoLo Solutions,notifier,Load #4303638807 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303647086,smithfield-foods,Coyote Logistics,notifier,Load #4303647086: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303678074,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303678074: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303690699,smithfield-foods,ST Freight LLC,notifier,Load #4303690699: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303690795,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303690795 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303698534,smithfield-foods,Olympic Transportation Services Inc,notifier,Load #4303698534: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303698565,smithfield-foods,Prime Inc.,notifier,Load #4303698565: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303698570,smithfield-foods,Prime Inc.,notifier,Load #4303698570: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303698572,smithfield-foods,Prime Inc.,notifier,Load #4303698572: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303700046,smithfield-foods,C.R. England,notifier,Load #4303700046 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303700155,smithfield-foods,C.R. England,notifier,Load #4303700155 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303702590,smithfield-foods,K and B Transportation Inc.,notifier,Load #4303702590 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303703408,smithfield-foods,K and B Transportation Inc.,notifier,Load #4303703408 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303703409,smithfield-foods,K and B Transportation Inc.,notifier,Load #4303703409 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303703531,smithfield-foods,Buhr's Trucking,notifier,Load #4303703531 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303704174,smithfield-foods,Raider Express Inc.,notifier,Load #4303704174 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303704333,smithfield-foods,C.R. England,notifier,Load #4303704333 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303705449,smithfield-foods,Prime Inc.,notifier,Load #4303705449 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303705719,smithfield-foods,C.R. England,notifier,Load #4303705719 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303705724,smithfield-foods,C.R. England,notifier,Load #4303705724 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303705894,smithfield-foods,C.R. England,notifier,Load #4303705894 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303706177,smithfield-foods,C.R. England,notifier,Load #4303706177 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303706255,smithfield-foods,C.R. England,notifier,Load #4303706255 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303706844,smithfield-foods,C.R. England,notifier,Load #4303706844 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303706871,smithfield-foods,Prime Inc.,notifier,Load #4303706871 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303706962,smithfield-foods,Raider Express Inc.,notifier,Load #4303706962 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303707787,smithfield-foods,DJM Logistics/MoLo Solutions,notifier,Load #4303707787 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303707851,smithfield-foods,SOAR Transport (Formerly Kelle's),notifier,Load #4303707851 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-02,4303708067,smithfield-foods,Raider Express Inc.,notifier,Load #4303708067 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303599195,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303599195 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303599213,smithfield-foods,C.R. England,notifier,Load #4303599213 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303627029,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303627029: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303630362,smithfield-foods,C.R. England,notifier,Load #4303630362: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303630726,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303630726: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303630728,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303630728: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303630731,smithfield-foods,ST Freight LLC,notifier,Load #4303630731: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303630921,smithfield-foods,Arrive Logistics,notifier,Load #4303630921 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303659498,smithfield-foods,DJM Logistics/MoLo Solutions,notifier,Load #4303659498 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303665080,smithfield-foods,Integrity Express Logistics,notifier,Load #4303665080 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303678071,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303678071 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303678072,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303678072 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303678076,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303678076: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303682047,smithfield-foods,Traffix,notifier,Load #4303682047: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303693120,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303693120: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303698565,smithfield-foods,Prime Inc.,notifier,Load #4303698565: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303698570,smithfield-foods,Prime Inc.,notifier,Load #4303698570: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303699869,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303699869 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303700047,smithfield-foods,C.R. England,notifier,Load #4303700047 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303700154,smithfield-foods,C.R. England,notifier,Load #4303700154 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303702498,smithfield-foods,C.R. England,notifier,Load #4303702498 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303702675,smithfield-foods,Prime Inc.,notifier,Load #4303702675: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
