FACILITY,DATE,Load Number,CARRIER,CONTAINER ID,DESTINATION CITY,DESTINATION STATE,DD DATE,DD TIME,BILL DATE,BILL TIME,ZDLT LATE CODE,ON TIME? (Y/N),SPLIT? (Y/N),FRESH PRIORITY STO? (Y/N),NOTES/COMMENTS,DETAILED NOTES/COMMENTS,Reminder_x,Escalated?,Date,Shipper,Carrier,Workflow,Alert,Response Time,Raw Response,Goal,Updated data points on FK,Reminder_y,Escalated
Milan,31-Oct,4303705881.0,HIRS,20907,Wilson,NC,10/31/2024,20:00,10/30/2024,20:30,,Y,N,,Email sent and no response processed,,,,2024-11-01,smithfield-foods,Hirschbach Motor Lines Inc,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Milan,31-Oct,4303706686.0,PRIJ,220230,CLINTON,OK,10/31/2024,8:00,10/31/2024,0:07,,Y,N,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Prime Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Milan,31-Oct,4303707532.0,CPU,,DALLAS,TX,11/1/2024,11:11,,0:00,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303707548.0,CPU,,DORAL,FL,10/31/2024,11:11,,0:00,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303708188.0,CPU,,MISSISSAUGA,ON,11/1/2024,11:11,,0:00,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,5000262067.0,SHKE,C#1/80387,Chillicothe,MO,10/30/2024,8:05,10/30/2024,8:05,,Y,N,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Sharkey Transportation,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Milan,31-Oct,5000262068.0,SHKE,C#2/80278,Chillicothe,MO,10/30/2024,10:46,10/30/2024,10:46,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,5000262105.0,SHKE,DM#1/80335,Des Moines,IA,10/30/2024,12:40,10/30/2024,12:40,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,5000262133.0,PTGB,CR#1/1144,Des Moines,IA,10/30/2024,16:56,10/30/2024,16:56,,Y,N,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Potter Transport Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Milan,31-Oct,5000262144.0,SHKE,DM#2/80023,Des Moines,IA,10/30/2024,14:39,10/30/2024,14:39,,Y,N,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,5000262152.0,SHKE,C#4/80235,Chillicothe,MO,10/30/2024,15:57,10/30/2024,15:57,,Y,N,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Sharkey Transportation,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Milan,31-Oct,5000262157.0,SHKE,CUT#5/80032,Chillicothe,MO,10/30/2024,21:56,10/30/2024,21:56,,Y,N,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Sharkey Transportation,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Milan,31-Oct,4303700837.0,TSL,TTNU8163574,EDGERTON,KS,,,10/30/2024,12:18,,,,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303698731.0,TSL,CGMU5360065,EDGERTON,KS,,,10/29/2024,16:12,,,,,Email not sent,,,,,,,,,,,,,,
Milan,31-Oct,4303705652.0,TSL,AMCU9374534,EDGERTON,KS,,,10/30/2024,23:21,,,,,Email not sent,,,,,,,,,,,,,,
Crete,31-Oct,4303691952.0,AKHT,5321006,Junction City,KS,10/31/2024,11:00,10/30/2024,7:55,,Y,N,N,Email not sent,,,,,,,,,,,,,,
Crete,31-Oct,5000262158.0,BTDQ,262,Olathe,KS,10/30/2024,22:52,10/30/2024,22:52,,Y,N,Y,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Buhr's Trucking,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,4303689676.0,BTDQ,257,Lincoln,NE,10/31/2024,4:30,10/29/2024,22:58,,Y,N,N,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Buhr's Trucking,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,4303691654.0,BTDQ,450,Lincoln,NE,10/31/2024,4:30,10/30/2024,2:38,,Y,N,N,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Buhr's Trucking,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,5000262159.0,BTDQ,263,Olathe,KS,10/31/2024,0:34,10/31/2024,0:34,,Y,N,Y,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Buhr's Trucking,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,4303703683.0,BTDQ,245,LINCOLN,NE,10/31/2024,9:00,10/31/2024,0:06,,Y,N,N,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Buhr's Trucking,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,5000261997.0,FRFT,319,Olathe,KS,10/29/2024,10:25,10/29/2024,10:25,,Y,N,Y,Email not sent,,,,,,,,,,,,,,
Crete,31-Oct,5000262055.0,FRFT,722,Olathe,KS,10/29/2024,19:04,10/29/2024,19:04,,Y,N,Y,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Friend Freightways Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Crete,31-Oct,4303697275.0,FRFT,1117,Omaha,NE,10/31/2024,5:30,10/30/2024,17:01,,Y,N,N,Email not sent,,,,,,,,,,,,,,
Crete,31-Oct,5000262069.0,HIRP,30040,Olathe,KS,10/30/2024,11:51,10/30/2024,11:51,,Y,N,Y,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Hirschbach Motor Lines Inc,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,5000262155.0,HIRP,30780,Olathe,KS,10/30/2024,19:34,10/30/2024,19:34,,Y,N,Y,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Hirschbach Motor Lines Inc,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,4303693108.0,HIRP,20840,Wichita,KS,10/31/2024,18:30,10/30/2024,9:13,,Y,N,N,Email not sent,,,,,,,,,,,,,,
Crete,31-Oct,5000262139.0,HIRP,95273,Greenfield,IN,10/31/2024,0:46,10/31/2024,0:46,,Y,N,Y,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Hirschbach Motor Lines Inc,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,4303695567.0,HIRS,30705,Tar Heel,NC,11/2/2024,6:30,10/31/2024,2:01,,Y,N,Y,Email not sent,,,,,,,,,,,,,,
Crete,31-Oct,5000262149.0,JOFD,7789,Greenfield,IN,10/30/2024,15:37,10/30/2024,15:37,,Y,N,Y,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Johnson Feed Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,5000262154.0,JOFD,7788,Greenfield,IN,10/30/2024,19:20,10/30/2024,19:20,,Y,N,Y,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Johnson Feed Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,4303700361.0,CGVR,R15620,Salt Lake City,UT,10/30/2024,16:30,10/30/2024,15:13,,Y,N,N,Email not sent,,,,,,,,,,,,,,
Crete,31-Oct,5000262052.0,JOFD,7778,Greenfield,IN,10/29/2024,18:53,10/29/2024,18:53,,Y,N,Y,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Johnson Feed Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,5000262049.0,JOFD,8033,Greenfield,IN,10/30/2024,1:32,10/30/2024,1:32,,Y,N,Y,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Johnson Feed Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,4303691562.0,MOEE,3022,Lincoln,NE,10/31/2024,4:30,10/30/2024,19:24,,Y,N,N,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Moeller Trucking Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,4303702061.0,MOEE,3002,Lincoln,NE,10/31/2024,4:30,10/30/2024,22:06,,Y,N,N,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Moeller Trucking Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,4303692739.0,MOEE,3049,Lincoln,NE,10/31/2024,4:30,10/31/2024,1:47,,Y,N,N,Email not sent,,,,,,,,,,,,,,
Crete,31-Oct,4303691913.0,MOEE,3030,Omaha,NE,10/31/2024,7:30,10/31/2024,2:45,,Y,N,N,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Moeller Trucking Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Crete,31-Oct,4303570881.0,PRIJ,243273,OKLAHOMA CITY,OK,10/31/2024,8:00,10/30/2024,19:40,,Y,N,N,Email not sent,,,,,,,,,,,,,,
Crete,31-Oct,4303684232.0,PRIJ,220125,Cudahy,WI,10/31/2024,15:30,10/28/2024,12:02,,Y,N,N,Email not sent,,,,,,,,,,,,,,
Crete,31-Oct,5000262125.0,PTGB,1145,Olathe,KS,10/30/2024,12:41,10/30/2024,12:41,,Y,N,Y,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Potter Transport Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Crete,31-Oct,5000262134.0,PTGB,1158,Olathe,KS,10/30/2024,17:22,10/30/2024,17:22,,Y,N,Y,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Potter Transport Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Pine Ridge,31-Oct,4303693330.0,MOEE,3019,Carroll,Iowa,10/30/2024,3:00,10/30/2024,2:44,,,,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Moeller Trucking Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Pine Ridge,31-Oct,4303693331.0,MOEE,3024,Carroll,Iowa,10/30/2024,3:00,10/29/2024,19:35,,,,,Email not sent,,,,,,,,,,,,,,
Pine Ridge,31-Oct,4303693338.0,LHPT,1470,Middlesboro,Kentucky,10/29/2024,19:30,10/29/2024,21:03,,,,,Email not sent,,,,,,,,,,,,,,
Denison,31-Oct,5000262112.0,BRITTON,18T07,"DES MOINES, IA",IA,10/30/2024,9:30,10/30/2024,9:30,,,,,Email not sent,,,,,,,,,,,,,,
Denison,31-Oct,5000262170.0,HEYL,21053,"DES MOINES, IA",IA,10/30/2024,16:19,10/30/242,16:19,,,,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Heyl Truck Lines,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Denison,31-Oct,4303704639.0,HILL BROS,579727,"JUNCTION CITY, KS",KS,10/30/2024,18:30,10/29/2024,7:01,,,,,Email not sent,,,,,,,,,,,,,,
Denison,31-Oct,4303703577.0,HILL BROS,579571,"OLATHE, KS",KS,10/30/2024,12:00,10/30/2024,14:09,,,,,Email not sent,,,,,,,,,,,,,,
Denison,31-Oct,4303691871.0,HILL BROS,579508,"JUNCTION CITY, KS",KS,10/31/2024,18:30,10/30/2024,22:48,,,,,Email sent and no response processed,,,,2024-11-01,smithfield-foods,HILL BROTHERS TRANSPORTATION INC,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,Y
Denison,31-Oct,4303697984.0,HIRSCHBACH,498,"ALCOA, TN",TN,10/30/2024,11:30,10/29/2024,14:00,,,,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Hirschbach Motor Lines Inc,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Denison,31-Oct,4303704494.0,HIRSCHBACH,20107,"TRENTON, MO",MO,11/3/2024,23:30,10/29/2024,12:55,,,,,Email not sent,,,,,,,,,,,,,,
Denison,31-Oct,4303657846.0,HIRSCHBACH,40129,"YOAKUM, TX",TX,10/31/2024,12:30,10/30/2024,21:44,,,,,Email not sent,,,,,,,,,,,,,,
Denison,31-Oct,4303699012.0,HIRSCHBACH,57,"ABBOTSFORD, WI",WI,10/31/2024,12:00,10/30/2024,19:17,,,,,Email not sent,,,,,,,,,,,,,,
Denison,31-Oct,4303704102.0,HIRSCHBACH,20926,"GREENFIELD, IN",IN,10/30/2024,20:00,10/30/2024,19:53,,,,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Hirschbach Motor Lines Inc,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,
Denison,31-Oct,4303705136.0,HIRSCHBACH,H00307,"ORLAND & DEERFIELD BEACH, FL",FL,10/31/2024,10:00,10/30/2024,21:04,,,,,Email not sent,,,,,,,,,,,,,,
Denison,31-Oct,4303705727.0,HIRSCHBACH,40233,"TRENTON, MO",MO,10/31/2024,23:30,10/30/2024,11:06,,,,,Email not sent,,,,,,,,,,,,,,
Denison,31-Oct,4303697287.0,HIRSCHBACH,40197,"POMPANO BEACH, FL",FL,10/31/2024,17:00,10/31/2024,:06,,,,,Email sent and no response processed,,,,2024-11-01,smithfield-foods,Hirschbach Motor Lines Inc,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Denison,31-Oct,4303706068.0,HIRSCHBACH,254,"OLATHE, KS",KS,10/31/2024,12:00,10/31/2024,:49,,,,,Email not sent,,,,,,,,,,,,,,
Denison,31-Oct,5000262148.0,JFI,7966,"DES MOINES, IA",IA,10/30/2024,15:27,10/30/2024,15:27,,,,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Johnson Feed Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Denison,31-Oct,4303684438.0,JFI,8329,"DES MOINES, IA",IA,10/31/2024,9:00,10/30/2024,15:44,,,,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Johnson Feed Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Denison,31-Oct,4303691889.0,K & B,13601,"JUNCTION CITY, KS",KS,10/31/2024,18:30,10/30/2024,8:44,,,,,Email not sent,,,,,,,,,,,,,,
Denison,31-Oct,4303680019.0,MOELLER,3052,"SIOUX CITY, IA",IA,10/31/2024,3:00,10/30/2024,19:20,,,,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Moeller Trucking Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Denison,31-Oct,5000262147.0,POTTER,1141,"DES MOINES, IA",IA,10/30/2024,15:23,10/30/2024,15:23,,,,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Potter Transport Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,,
Denison,31-Oct,4303705745.0,PRIME,210262,"PHARR, TX",TX,11/1/2024,21:30,10/30/2024,17:53,,,,,Email not sent,,,,,,,,,,,,,,
Denison,31-Oct,4303684234.0,PRIME,210315,"DENVER, CO",CO,10/31/2024,10:30,10/30/2024,23:37,,,,,Email sent and no response processed,,,,2024-10-31,smithfield-foods,Prime Inc.,ready_to_pickup,,,,SUCCESS,FETCHED_CARRIER_SCAC; LOAD_UPDATED; MAIL_SENT_TO_CARRIER,Y,Y
Sioux Falls,31-Oct,4303675856.0,YAGA,2002,,OK,10/30/2024,11:11,10/30/2024,19:58,,,,,Email not sent,,,,,,,,,,,,,,
Sioux Falls,31-Oct,4303651643.0,BENNETT,1737,,TX,10/29/2024,20:00,10/30/2024,19:04,,,,,Email not sent,,,,,,,,,,,,,,
Sioux Falls,31-Oct,4303705940.0,BENNETT,1765,,"IA,WI",10/30/2024,18:30,10/30/2024,23:44,,,,,Email not sent,,,,,,,,,,,,,,
Sioux Falls,31-Oct,4303705514.0,HEYL,5027,,NC,11/1/2024,7:30,10/30/2024,19:31,,,,,Email not sent,,,,,,,,,,,,,,
Sioux Falls,31-Oct,4303680020.0,HEYL,24078,,IA,10/31/2024,3:30,10/30/2024,21:55,,,,,Email not sent,,,,,,,,,,,,,,
